kind,config,held_out,train,reg_err_pitch,per_sev,paste2_ref,shared_basis_ref,beats_paste2,in_dist,seconds,status,timestamp,detail
dlpfc_lodo,shared_basis,Br5292,Br5595+Br8100,10.328,10.181;10.172;10.214;10.205;10.244;10.437;10.843,5.28,9.6,False,2.762,1.9,ok,2026-07-17T06:53:33Z,
dlpfc_lodo,ot_only,Br5292,Br5595+Br8100,12.631,12.631;12.631;12.631;12.631;12.631;12.631;12.631,5.28,9.6,False,12.758,1.2,ok,2026-07-17T06:53:35Z,
dlpfc_lodo,piecewise_only,Br5292,Br5595+Br8100,13.269,12.376;12.424;12.665;12.959;13.305;14.126;15.025,5.28,9.6,False,13.72,1.2,ok,2026-07-17T06:53:36Z,
dlpfc_lodo,residual,Br5292,Br5595+Br8100,12.292,12.27;12.287;12.3;12.311;12.284;12.302;12.291,5.28,9.6,False,5.484,2.9,ok,2026-07-17T06:53:39Z,
dlpfc_lodo,residual_ssa,Br5292,Br5595+Br8100,12.592,12.585;12.587;12.589;12.589;12.588;12.6;12.603,5.28,9.6,False,12.684,2.5,ok,2026-07-17T06:53:41Z,
dlpfc_lodo,hybrid_no_ssa,Br5292,Br5595+Br8100,11.429,11.265;11.275;11.406;11.451;11.469;11.566;11.57,5.28,9.6,False,5.336,3.0,ok,2026-07-17T06:53:44Z,
dlpfc_lodo,hybrid_full,Br5292,Br5595+Br8100,12.383,12.315;12.31;12.336;12.364;12.385;12.448;12.523,5.28,9.6,False,12.488,2.6,ok,2026-07-17T06:53:47Z,
dlpfc_lodo_paste2base,paste2,Br5292,Br5595+Br8100,5.407,4.863;5.041;5.333;5.674;6.122,5.28,9.6,True,,2264.6,ok,2026-07-17T07:31:32Z,vs_real_paste2_base=5.407
dlpfc_lodo_paste2base,paste2_piecewise,Br5292,Br5595+Br8100,5.213,1.813;2.82;5.272;7.298;8.864,5.28,9.6,True,,2264.6,ok,2026-07-17T07:31:32Z,vs_real_paste2_base=5.407
dlpfc_lodo_paste2base,paste2_residual,Br5292,Br5595+Br8100,12.699,12.473;12.587;12.776;12.843;12.814,5.28,9.6,False,,2264.6,ok,2026-07-17T07:31:32Z,vs_real_paste2_base=5.407
dlpfc_lodo_paste2base,paste2_hybrid,Br5292,Br5595+Br8100,8.383,7.046;7.613;8.496;9.049;9.711,5.28,9.6,False,,2264.6,ok,2026-07-17T07:31:32Z,vs_real_paste2_base=5.407
dlpfc_lodo,shared_basis,Br5595,Br5292+Br8100,8.941,8.672;8.635;8.632;8.687;8.798;9.341;9.824,4.35,9.6,False,3.095,2.3,ok,2026-07-17T07:44:54Z,
dlpfc_lodo,ot_only,Br5595,Br5292+Br8100,11.543,11.543;11.543;11.543;11.543;11.543;11.543;11.543,4.35,9.6,False,13.993,1.9,ok,2026-07-17T07:44:56Z,
dlpfc_lodo,piecewise_only,Br5595,Br5292+Br8100,12.632,11.715;11.814;12.058;12.381;12.765;13.471;14.219,4.35,9.6,False,14.905,1.8,ok,2026-07-17T07:44:57Z,
dlpfc_lodo,residual,Br5595,Br5292+Br8100,12.458,12.242;12.273;12.251;12.276;12.34;12.705;13.119,4.35,9.6,False,5.517,3.1,ok,2026-07-17T07:45:00Z,
dlpfc_lodo,residual_ssa,Br5595,Br5292+Br8100,11.45,11.449;11.45;11.449;11.45;11.449;11.449;11.454,4.35,9.6,False,13.936,3.1,ok,2026-07-17T07:45:04Z,
dlpfc_lodo,hybrid_no_ssa,Br5595,Br5292+Br8100,11.598,11.346;11.373;11.378;11.381;11.449;11.922;12.34,4.35,9.6,False,5.255,3.1,ok,2026-07-17T07:45:07Z,
